id,Predicted
19307997,359.67
20176193,122.64
19485371,86.87630952380952
13079990,148.08333333333334
22339757,62.68
7717071,100.005
19416433,192.22
28602814,359.8825
3167768,442.07
22026277,262.3578809523809
20982450,124.58
16271468,60.22
14445183,105.05
6040356,85.87
11484489,190.39000000000004
29541600,101.565
2793834,183.90638095238097
588677,157.0
22940375,169.18
26126728,92.60290339419896
8072662,59.345
26250574,138.14
19568889,82.60395634920634
2048796,60.13333333333334
24938213,100.89
8555036,70.1352380952381
22108302,55.04583333333334
3625656,120.06
11238715,61.37658058608058
5041360,70.04075
3989564,117.04
22662308,178.41
17728208,213.21
13597896,63.203500000000005
13083638,126.96125
8760775,118.96333333333332
25518930,217.73163744588746
17256297,71.20466666666667
1975069,152.21
479285,69.42
22050058,76.542
21844210,206.75
25835470,51.72
27853108,186.26
9486111,251.41
23148095,47.7
26603929,74.835
6272181,69.50333333333334
22674576,124.17
20758205,246.07
22928982,547.17
28582815,166.49
13406622,652.33
24429072,265.21
4031951,72.66470468712575
25380861,183.56666666666663
18946416,166.42
9028856,377.46
29455324,188.55
23342877,60.06
28333465,64.95333333333333
29335812,151.42
15621557,52.52297733802146
22240208,355.05628571428576
14851292,131.83
13649833,76.08769841269839
6843556,264.18582539682535
4881610,108.005
14125183,71.46733333333333
13374115,76.74
12495831,170.4855
11963123,138.99
16024539,128.76766666666666
4351563,113.52083333333334
27141784,145.055
14684699,153.35
5031569,135.22316666666666
9046203,161.12
16238779,309.88
4629359,178.11
3811186,88.035
8703711,94.18
26814509,434.42445498945494
17556436,115.17666666666665
27368543,213.89754806304808
16456543,40.40470995670996
190542,147.09
18753645,130.31
14928996,79.17966666666666
24918804,177.89
29569480,109.32180952380953
4434797,59.73
7403108,152.57666666666665
14070967,108.90999999999998
28624477,110.16416666666666
7632182,129.245
27507052,67.13
10681555,173.76566666666665
26224149,105.97816666666665
15010339,75.19
21979587,131.036
491123,84.18299999999999
1703303,157.67666666666668
13276073,217.01
10336325,124.47
18504631,65.08149999999999
12983221,200.58099999999996
28893280,177.83
10995810,76.85045238095236
29490463,55.19
19476873,222.2
11693193,209.88
3766496,111.8625
13936825,72.89260714285714
9331413,150.49
15144105,49.1455
25763994,73.53
18457273,60.7975
10120414,193.3
26770369,63.71
26035905,69.70938461538462
7367864,292.4866666666666
18736642,110.74
21190435,149.95600000000002
3750917,100.83383333333332
29260109,385.85
26236287,52.298833333333334
23744530,102.69183333333335
22937557,66.22724358974361
11069190,102.96120238095239
14535422,80.78166666666667
29615038,61.62328068336891
28978145,145.91797619047617
9116831,129.81956782106784
4728136,59.11
26337553,67.82760558885556
20136238,67.61833333333333
19343700,197.2266666666667
16409970,178.14416666666668
25740704,179.1
27604010,250.6
29490455,238.75333333333333
9429015,183.36083333333332
17575407,82.39916666666666
17481087,288.25616053391053
29391342,187.64
16163768,113.32833333333332
21139341,336.975
301372,72.36016666666666
18824754,64.86583333333333
28652436,141.35
14762427,122.03333333333332
26338854,112.05
23902815,86.728
25289041,443.88066666666674
4325244,164.06
2695372,162.7375
715070,279.44
21293326,113.415
4235620,96.07
27573123,70.63318391330893
5562710,161.5525
6227341,52.4105
9955143,172.66
22838613,79.68
8736291,115.72
22339572,57.85
7542840,117.15385822510824
11957593,73.88
25413957,175.14
8371626,67.666
13485043,167.37
20775042,53.73666666666667
15468790,82.06
7434615,143.43
26401133,184.217
7082866,172.12223809523806
9883870,221.31
13092522,62.67
26716581,127.03866666666669
18840683,46.24
13996108,247.28
26039386,125.36599999999999
27584712,78.81736714382109
1771989,67.88535714285715
13431961,329.39
14365130,153.5
23480798,137.83
24538997,88.29
20333200,110.91533333333336
16163482,324.1031666666667
294353,83.14
16214500,145.9475
12325291,285.66
918049,183.7674523809524
14110144,160.10666666666665
28670804,356.70890476190476
20504269,123.25
258740,82.32666666666668
22249905,336.98916666666656
29282847,120.142
14153242,175.6691666666667
6452188,132.97
22878070,335.94
14403485,87.62
12990172,109.90666666666667
12970522,176.13133333333332
19429274,47.71166666666667
13788900,122.93
21026558,116.42585858585859
15079046,61.798
20516112,83.62155555555557
18354821,51.87516666666667
17791923,118.02
25033991,192.66
27283118,126.428
17790276,102.14833333333334
21217451,97.715
4244479,172.37
19431893,50.465
7458297,108.05607142857143
21838658,112.70833333333331
19764136,282.2740476190476
24352306,133.407
3951363,92.90583333333332
3758296,63.845
8241894,74.04666666666667
12050280,121.57066666666665
27133188,55.3
22153425,118.36
4447524,182.125
21550105,79.25653846153847
3929669,142.3425
19787238,199.58333333333331
12806016,143.29
16544473,165.59
2267692,149.37
756892,229.95639652014648
17450190,95.75
83243,81.87333333333333
17590481,352.88
6919971,142.05904761904765
276120,201.45
24313537,273.2633333333333
18361399,183.08
8964308,96.01
1604488,140.94166666666666
7973484,197.21
20569589,209.3383333333333
24444586,58.931999999999995
17298,152.12
26197763,55.657380952380954
2284454,719.36
16634804,86.46083333333333
2552938,199.97
26950547,148.16
25183760,184.35530635406084
10175187,76.95599999999999
19384143,104.82
8625398,193.58
6926686,97.83
27338569,91.05166666666668
26258306,90.67
6014327,78.7569246031746
26475819,60.52714285714286
13115688,126.96933333333334
3344383,353.99199999999996
27435179,70.71166666666666
3944737,136.89583333333331
23644347,51.325444444444436
21780636,108.85
5682992,127.5836904761905
253815,198.76433333333335
10038776,58.04
6809332,307.90833333333336
15037251,132.71
7516992,76.87
19307798,120.96
1132201,121.81428571428573
4359703,211.74800000000002
976167,118.735
20827546,92.13777777777777
21171726,144.59391666666667
26735765,62.77
15494542,125.209
10289124,127.61
24678015,121.36
9089306,182.08100000000002
21211033,107.30333333333336
16740779,78.21833333333333
8504231,109.18666666666667
25949165,83.23975487012987
3359001,152.89333333333335
24583519,87.29140476190476
3850493,134.87
19530652,49.03731746031745
19409691,203.38
17881079,115.81333333333332
23122670,131.66083333333333
16867729,76.66
11159781,64.985
16364491,220.25
22304581,68.41444444444444
5409372,173.51
23484328,49.03731746031745
5816154,93.93
13619661,86.48883552395317
16648750,122.98766666666667
19298911,171.165
21593872,89.38333333333333
23903189,69.3251443001443
14024257,105.76833333333332
25317793,54.92666666666666
1479113,89.03178571428572
13604994,108.56247619047619
10475047,47.90392063492063
2303583,238.0066666666667
16050081,171.91777777777781
27952152,37.03
17152350,195.52
19969420,105.228
25101138,674.07
10050847,85.98
11888948,148.5145
2127713,113.81
4948953,68.80472222222222
6297613,52.77
16679726,104.18
9843826,232.445
21422090,56.406666666666666
18748170,65.14
3826037,57.95933333333333
840103,73.24366666666666
13004741,64.59759523809524
27018851,164.91
9247923,218.41466666666668
7808003,224.545
915020,133.24
19787716,228.2675
9318504,119.07576923076923
15412415,97.51899999999999
28302975,143.65
24538208,171.81083333333333
391948,44.43
6607833,89.6425
8045421,341.595
20904409,101.6
25946172,80.50125
9512419,62.552
26951357,69.24
10338696,104.2
3352608,207.05
28491822,125.88
29630309,75.36583333333333
20586035,61.58
24390991,311.8958333333333
29313136,112.21566666666668
28127009,54.05
26747409,65.84333333333333
25292558,90.37516666666666
10212686,59.68666666666667
20741563,107.61821428571427
4482783,104.03032693828362
9464046,68.63399035686535
635282,172.08
9754751,135.6525
25816212,172.1
21678001,183.16
10318675,83.23948809523812
6048412,589.505
16027312,174.33433333333335
23540017,76.76333333333334
23545634,140.07666666666668
24823077,56.75333333333334
8989380,72.66571428571427
27306234,80.80215737040736
23355364,357.9637619047619
21658519,228.122
27967972,56.97666666666667
28510269,66.83483333333334
23002371,186.29333333333332
7116670,83.23975487012987
23875454,76.89983333333333
3038614,172.66
7205064,82.9175
16380258,96.56833333333333
29382702,180.245
16514808,58.408214285714294
14710717,75.8325
14201811,73.94548809523809
23291441,49.2
21845154,158.81751587301588
521522,74.95166666666667
11491051,175.50785714285715
13997415,170.61
1645181,132.61
6758846,128.5125
27901272,107.5144761904762
18517584,125.016
19911921,142.585
13548101,100.955
25995800,179.614
18754907,95.51
13908291,286.99
27964166,270.322
10972514,92.7
